length ,t_opt    ,t_baseline ,t_opt_a               ,t_baseline_a
     1 ,0.213289 ,  0.181275 ,0.213289              ,0.181275
     4 ,0.14949  ,  0.154094 ,0.0373725             ,0.0385235
    16 ,0.141358 ,  0.193223 ,0.008834875           ,0.0120764375
    64 ,0.12619  ,  0.199102 ,0.00197171875         ,0.00311096875
   256 ,0.138818 ,  0.15913  ,0.0005422578125       ,0.0006216015625
  1024 ,0.438175 ,  0.537952 ,0.0004279052734375    ,0.00052534375
  4096 ,0.134041 ,  1.11327  ,3.2724853515625e-05   ,0.00027179443359375
 16384 ,0.172624 ,  1.310978 ,1.05361328125e-05     ,8.00157470703125e-05
 65536 ,0.412586 ,  5.16671  ,6.295562744140625e-06 ,7.883773803710938e-05
