length ,t_wrapper ,t_baseline            ,t_baseline2            ,t_wrapper_a            ,t_baseline_a           ,t_baseline2_a
     1 , 0.005281 ,0.003216981887817383  ,0.00018334388732910156 ,0.005281               ,0.003216981887817383   ,0.00018334388732910156
     4 , 0.008935 ,0.0037925243377685547 ,0.0003304481506347656  ,0.00223375             ,0.0009481310844421387  ,8.26120376586914e-05
    16 , 0.011228 ,0.0038416385650634766 ,0.0014545917510986328  ,0.00070175             ,0.00024010241031646729 ,9.091198444366455e-05
    64 , 0.027252 ,0.0040471553802490234 ,0.005660295486450195   ,0.0004258125           ,6.323680281639099e-05  ,8.84421169757843e-05
   256 , 0.078529 ,0.007388591766357422  ,0.023578882217407227   ,0.00030675390625       ,2.886168658733368e-05  ,9.210500866174698e-05
  1024 , 0.239162 ,0.008931875228881836  ,0.06442117691040039    ,0.000233556640625      ,8.722534403204918e-06  ,6.291130557656288e-05
  4096 , 0.950997 ,0.025284767150878906  ,0.23941659927368164    ,0.000232177001953125   ,6.1730388551950455e-06 ,5.845131818205118e-05
 16384 , 3.646752 ,0.1396770477294922    ,0.9543218612670898     ,0.000222580078125      ,8.525210432708263e-06  ,5.824718391522765e-05
 65536 ,14.211413 ,0.3688077926635742    ,3.784055233001709      ,0.00021684895324707032 ,5.627560312859714e-06  ,5.7740100601222366e-05
