length,t_opt,t_baseline,t_opt_a,t_baseline_a
4096,0.022003,0.197203,5.371826171875e-06,4.8145263671875e-05
16384,0.027414,0.532261,1.6732177734375e-06,3.248663330078125e-05
65536,0.021131,1.883841,3.224334716796875e-07,2.8745132446289064e-05
1,0.019972,0.023618,0.019972,0.023618
4,0.021776,0.025071,0.005444,0.00626775
16,0.01893,0.034474,0.001183125,0.002154625
64,0.023445,0.023334,0.000366328125,0.00036459375
256,0.027514,0.027713,0.0001074765625,0.00010825390625
1024,0.024912,0.060646,2.4328125e-05,5.9224609375e-05
4096,0.025512,0.193676,6.228515625e-06,4.72841796875e-05
16384,0.025125,0.532595,1.53350830078125e-06,3.250701904296875e-05
65536,0.028279,1.958954,4.315032958984375e-07,2.9891265869140626e-05
1,0.024592,0.020523,0.024592,0.020523
4,0.021559,0.027222,0.00538975,0.0068055
16,0.023943,0.027961,0.0014964375,0.0017475625
64,0.020317,0.020948,0.000317453125,0.0003273125
256,0.023274,0.034689,9.09140625e-05,0.00013550390625
1024,0.018693,0.057274,1.82548828125e-05,5.5931640625e-05
4096,0.026385,0.194247,6.441650390625e-06,4.7423583984375e-05
16384,0.023401,0.471702,1.42828369140625e-06,2.87904052734375e-05
65536,0.01905,1.8842,2.90679931640625e-07,2.87506103515625e-05
1,0.02458,0.01984,0.02458,0.01984
4,0.020112,0.021871,0.005028,0.00546775
16,0.023201,0.027508,0.0014500625,0.00171925
64,0.018425,0.03438,0.000287890625,0.0005371875
256,0.017888,0.027322,6.9875e-05,0.0001067265625
1024,0.028231,0.055986,2.75693359375e-05,5.4673828125e-05
4096,0.017913,0.202135,4.373291015625e-06,4.9349365234375e-05
16384,0.034004,0.428031,2.075439453125e-06,2.612493896484375e-05
65536,0.019623,1.779119,2.994232177734375e-07,2.7147201538085936e-05
1,0.016814,0.023024,0.016814,0.023024
4,0.034814,0.019471,0.0087035,0.00486775
16,0.022557,0.022138,0.0014098125,0.001383625
64,0.029019,0.028124,0.000453421875,0.0004394375
256,0.018089,0.027955,7.066015625e-05,0.00010919921875
1024,0.02198,0.0582,2.146484375e-05,5.68359375e-05
4096,0.022574,0.192235,5.51123046875e-06,4.6932373046875e-05
16384,0.024563,0.453766,1.49920654296875e-06,2.76956787109375e-05
65536,0.020759,1.882496,3.167572021484375e-07,2.8724609375e-05
1,0.019064,0.01798,0.019064,0.01798
4,0.018186,0.018763,0.0045465,0.00469075
16,0.029014,0.027832,0.001813375,0.0017395
64,0.02541,0.023084,0.00039703125,0.0003606875
256,0.021718,0.035122,8.48359375e-05,0.0001371953125
1024,0.022426,0.056936,2.1900390625e-05,5.56015625e-05
4096,0.019361,0.211923,4.726806640625e-06,5.1739013671875e-05
16384,0.027424,0.477237,1.673828125e-06,2.912823486328125e-05
65536,0.02568,1.857327,3.91845703125e-07,2.8340560913085937e-05
1,0.018593,0.031326,0.018593,0.031326
4,0.022642,0.023463,0.0056605,0.00586575
16,0.016799,0.022334,0.0010499375,0.001395875
64,0.016905,0.021188,0.000264140625,0.0003310625
256,0.022109,0.028918,8.636328125e-05,0.0001129609375
1024,0.018827,0.060014,1.83857421875e-05,5.8607421875e-05
4096,0.026135,0.193834,6.380615234375e-06,4.732275390625e-05
