length ,t_wrapper ,t_baseline            ,t_baseline2           ,t_wrapper_a            ,t_baseline_a           ,t_baseline2_a
     1 , 0.012874 ,0.003529787063598633  ,8.368492126464844e-05 ,0.012874               ,0.003529787063598633   ,8.368492126464844e-05
     4 , 0.019728 ,0.0038144588470458984 ,0.0003287792205810547 ,0.004932               ,0.0009536147117614746  ,8.219480514526367e-05
    16 , 0.040425 ,0.006967782974243164  ,0.0014603137969970703 ,0.0025265625           ,0.00043548643589019775 ,9.12696123123169e-05
    64 , 0.052852 ,0.0043561458587646484 ,0.006142854690551758  ,0.0008258125           ,6.806477904319763e-05  ,9.598210453987122e-05
   256 , 0.096145 ,0.004668712615966797  ,0.01793813705444336   ,0.00037556640625       ,1.82371586561203e-05   ,7.007084786891937e-05
  1024 , 0.342888 ,0.009745597839355469  ,0.06746101379394531   ,0.0003348515625        ,9.517185389995575e-06  ,6.587989628314972e-05
  4096 , 1.122637 ,0.014497995376586914  ,0.26989316940307617   ,0.000274081298828125   ,3.5395496524870396e-06 ,6.58918870612979e-05
 16384 , 6.504296 ,0.07192063331604004   ,1.7125201225280762    ,0.00039699072265625    ,4.389687092043459e-06  ,0.00010452393325977027
 65536 ,26.276074 ,0.35854244232177734   ,6.755513668060303     ,0.00040094107055664064 ,5.470923497341573e-06  ,0.0001030809580697678
