length,t_wrapper,t_baseline,t_baseline2,t_wrapper_a,t_baseline_a,t_baseline2_a
1,0.003981,0.002679586410522461,8.440017700195312e-05,0.003981,0.002679586410522461,8.440017700195312e-05
4,0.004855,0.002742290496826172,0.0003173351287841797,0.00121375,0.000685572624206543,7.933378219604492e-05
16,0.006341,0.0026209354400634766,0.0010161399841308594,0.0003963125,0.00016380846500396729,6.350874900817871e-05
64,0.012979,0.0029871463775634766,0.003714323043823242,0.000202796875,4.667416214942932e-05,5.803629755973816e-05
256,0.050322,0.003585338592529297,0.016214370727539062,0.0001965703125,1.4005228877067566e-05,6.333738565444946e-05
1024,0.152903,0.0066111087799072266,0.0560302734375,0.0001493193359375,6.456160917878151e-06,5.4717063903808594e-05
4096,0.538501,0.01403951644897461,0.21411824226379395,0.000131469970703125,3.4276163205504417e-06,5.227496149018407e-05
16384,2.09062,0.048090219497680664,0.9050049781799316,0.000127601318359375,2.935194061137736e-06,5.523712025023997e-05
65536,8.245683,0.17640066146850586,3.139347553253174,0.00012581913757324218,2.6916604838334024e-06,4.7902642108965665e-05
1,0.005468,0.0027930736541748047,0.00015473365783691406,0.005468,0.0027930736541748047,0.00015473365783691406
4,0.004443,0.0028960704803466797,0.00039124488830566406,0.00111075,0.0007240176200866699,9.781122207641602e-05
16,0.007279,0.002901792526245117,0.0009734630584716797,0.0004549375,0.00018136203289031982,6.084144115447998e-05
64,0.0143,0.0034341812133789062,0.004071235656738281,0.0002234375,5.365908145904541e-05,6.361305713653564e-05
256,0.050527,0.004631519317626953,0.0167238712310791,0.00019737109375,1.8091872334480286e-05,6.532762199640274e-05
1024,0.148004,0.008408069610595703,0.05908036231994629,0.00014453515625,8.211005479097366e-06,5.769566632807255e-05
4096,0.550472,0.024944305419921875,0.22925448417663574,0.000134392578125,6.089918315410614e-06,5.597033305093646e-05
16384,2.177172,0.08898043632507324,0.8641853332519531,0.000132884033203125,5.430934834294021e-06,5.274568684399128e-05
65536,8.586594,0.34728479385375977,3.4774370193481445,0.00013102102661132812,5.299145414028317e-06,5.306147795636207e-05
1,0.004706,0.0025272369384765625,0.00011658668518066406,0.004706,0.0025272369384765625,0.00011658668518066406
4,0.00458,0.0028057098388671875,0.0003230571746826172,0.001145,0.0007014274597167969,8.07642936706543e-05
16,0.006555,0.002602815628051758,0.0010600090026855469,0.0004096875,0.00016267597675323486,6.625056266784668e-05
64,0.017674,0.0035457611083984375,0.004904031753540039,0.00027615625,5.5402517318725586e-05,7.662549614906311e-05
256,0.046103,0.0038111209869384766,0.014464378356933594,0.00018008984375,1.4887191355228424e-05,5.650147795677185e-05
1024,0.145195,0.006159782409667969,0.053269147872924805,0.0001417919921875,6.015412509441376e-06,5.202065221965313e-05
4096,0.544886,0.01694965362548828,0.20835375785827637,0.00013302880859375,4.138099029660225e-06,5.0867616664618254e-05
16384,2.123369,0.05712723731994629,0.8690567016601562,0.00012960015869140624,3.486769855953753e-06,5.304301157593727e-05
65536,8.26145,0.22109460830688477,3.1818289756774902,0.00012605972290039062,3.373635991010815e-06,4.8550857172813267e-05
1,0.003848,0.0025603771209716797,6.747245788574219e-05,0.003848,0.0025603771209716797,6.747245788574219e-05
4,0.005412,0.002977132797241211,0.000423431396484375,0.001353,0.0007442831993103027,0.00010585784912109375
16,0.008119,0.0028989315032958984,0.0014214515686035156,0.0005074375,0.00018118321895599365,8.884072303771973e-05
64,0.016469,0.004293918609619141,0.003941774368286133,0.000257328125,6.709247827529907e-05,6.159022450447083e-05
256,0.053354,0.0066564083099365234,0.016871213912963867,0.0002084140625,2.6001594960689545e-05,6.59031793475151e-05
1024,0.190232,0.024606704711914062,0.055634260177612305,0.0001857734375,2.4029985070228577e-05,5.4330332204699516e-05
4096,0.823084,0.08888006210327148,0.2717154026031494,0.0002009482421875,2.1699233911931515e-05,6.633676821365952e-05
16384,2.496315,0.35373973846435547,0.8280413150787354,0.00015236297607421875,2.159056020900607e-05,5.053963104728609e-05
65536,10.070483,1.426499366760254,3.310399055480957,0.00015366337585449218,2.176665293518454e-05,5.051268090028316e-05
1,0.003849,0.003156423568725586,8.654594421386719e-05,0.003849,0.003156423568725586,8.654594421386719e-05
4,0.005039,0.0028786659240722656,0.0002453327178955078,0.00125975,0.0007196664810180664,6.133317947387695e-05
16,0.006745,0.0028786659240722656,0.0009634494781494141,0.0004215625,0.0001799166202545166,6.021559238433838e-05
64,0.013182,0.0028328895568847656,0.0040585994720458984,0.00020596875,4.426389932632446e-05,6.341561675071716e-05
256,0.04385,0.0034570693969726562,0.012962102890014648,0.0001712890625,1.3504177331924438e-05,5.063321441411972e-05
1024,0.144767,0.005495786666870117,0.05081748962402344,0.0001413740234375,5.366979166865349e-06,4.962645471096039e-05
4096,0.541301,0.01377105712890625,0.20019006729125977,0.000132153564453125,3.3620744943618774e-06,4.8874528147280216e-05
16384,2.049535,0.045464277267456055,0.8206527233123779,0.00012509368896484376,2.7749192668125033e-06,5.0088667194359004e-05
65536,8.171251,0.17552614212036133,3.281390905380249,0.00012468339538574218,2.67831637756899e-06,5.0070051656803116e-05
1,0.004126,0.002500772476196289,8.177757263183594e-05,0.004126,0.002500772476196289,8.177757263183594e-05
4,0.004594,0.002579212188720703,0.0003571510314941406,0.0011485,0.0006448030471801758,8.928775787353516e-05
16,0.006768,0.002669811248779297,0.001123189926147461,0.000423,0.00016686320304870605,7.019937038421631e-05
64,0.013449,0.002786874771118164,0.0043179988861083984,0.000210140625,4.3544918298721313e-05,6.746873259544373e-05
256,0.042273,0.0034494400024414062,0.013512611389160156,0.00016512890625,1.3474375009536743e-05,5.278363823890686e-05
1024,0.140893,0.00498199462890625,0.052459001541137695,0.0001375908203125,4.86522912979126e-06,5.122949369251728e-05
4096,0.531106,0.013098001480102539,0.19754815101623535,0.00012966455078125,3.197754267603159e-06,4.8229529056698084e-05
16384,2.079887,0.04017186164855957,0.8059661388397217,0.00012694622802734374,2.451895852573216e-06,4.9192269216291606e-05
65536,8.334656,0.1429734230041504,3.1429688930511475,0.0001271767578125,2.181601303163916e-06,4.795789936906658e-05
1,0.003762,0.002712726593017578,6.818771362304688e-05,0.003762,0.002712726593017578,6.818771362304688e-05
4,0.00544,0.006449222564697266,0.0005335807800292969,0.00136,0.0016123056411743164,0.00013339519500732422
16,0.006802,0.002976655960083008,0.0011844635009765625,0.000425125,0.000186040997505188,7.402896881103516e-05
64,0.015989,0.0049037933349609375,0.0035300254821777344,0.000249828125,7.662177085876465e-05,5.51566481590271e-05
256,0.0547,0.010565757751464844,0.015064239501953125,0.000213671875,4.1272491216659546e-05,5.8844685554504395e-05
1024,0.199768,0.02596735954284668,0.06142711639404297,0.0001950859375,2.535874955356121e-05,5.998741835355759e-05
4096,0.741369,0.11888504028320312,0.24944472312927246,0.000180998291015625,2.9024668037891388e-05,6.0899590607732534e-05
