length,t_opt,t_baseline,t_opt_a,t_baseline_a
1,0.059359,0.064728,0.059359,0.064728
4,0.04961,0.062902,0.0124025,0.0157255
16,0.027526,0.027378,0.001720375,0.001711125
64,0.030491,0.031581,0.000476421875,0.000493453125
256,0.0338,0.0362,0.00013203125,0.00014140625
1024,0.02208,0.083366,2.15625e-05,8.1412109375e-05
4096,0.048025,0.233887,1.1724853515625e-05,5.7101318359375e-05
16384,0.030225,0.524338,1.84478759765625e-06,3.20030517578125e-05
65536,0.040231,1.916651,6.138763427734375e-07,2.924577331542969e-05
1,0.021879,0.031038,0.021879,0.031038
4,0.020178,0.02085,0.0050445,0.0052125
16,0.030691,0.03215,0.0019181875,0.002009375
64,0.026462,0.026298,0.00041346875,0.00041090625
256,0.023005,0.038512,8.986328125e-05,0.0001504375
1024,0.021599,0.060124,2.10927734375e-05,5.871484375e-05
4096,0.02047,0.197981,4.99755859375e-06,4.8335205078125e-05
16384,0.023342,0.466026,1.4246826171875e-06,2.84439697265625e-05
65536,0.024553,1.912291,3.746490478515625e-07,2.9179244995117187e-05
1,0.020973,0.023916,0.020973,0.023916
4,0.038118,0.027025,0.0095295,0.00675625
16,0.0397,0.027023,0.00248125,0.0016889375
64,0.034641,0.03417,0.000541265625,0.00053390625
256,0.022174,0.041943,8.66171875e-05,0.00016383984375
1024,0.028675,0.064111,2.80029296875e-05,6.26083984375e-05
4096,0.029057,0.200641,7.093994140625e-06,4.8984619140625e-05
16384,0.024468,0.497629,1.493408203125e-06,3.037286376953125e-05
65536,0.027278,1.855112,4.16229248046875e-07,2.83067626953125e-05
1,0.025571,0.020992,0.025571,0.020992
4,0.019542,0.020037,0.0048855,0.00500925
16,0.02711,0.022586,0.001694375,0.001411625
64,0.026017,0.032492,0.000406515625,0.0005076875
256,0.020089,0.038097,7.847265625e-05,0.00014881640625
1024,0.028376,0.065745,2.77109375e-05,6.42041015625e-05
4096,0.026041,0.215932,6.357666015625e-06,5.27177734375e-05
16384,0.027784,0.472056,1.69580078125e-06,2.881201171875e-05
65536,0.031848,1.924137,4.859619140625e-07,2.9360000610351562e-05
1,0.028868,0.031738,0.028868,0.031738
4,0.029207,0.030186,0.00730175,0.0075465
16,0.020806,0.026914,0.001300375,0.001682125
64,0.023194,0.024831,0.00036240625,0.000387984375
256,0.038272,0.046188,0.0001495,0.000180421875
1024,0.02305,0.064626,2.2509765625e-05,6.3111328125e-05
4096,0.026762,0.197313,6.53369140625e-06,4.8172119140625e-05
16384,0.036929,0.468314,2.25396728515625e-06,2.85836181640625e-05
65536,0.024961,1.799702,3.808746337890625e-07,2.7461273193359374e-05
1,0.020069,0.02211,0.020069,0.02211
4,0.026274,0.025499,0.0065685,0.00637475
16,0.029654,0.029056,0.001853375,0.001816
64,0.032952,0.030037,0.000514875,0.000469328125
256,0.026009,0.039762,0.00010159765625,0.0001553203125
1024,0.024374,0.080227,2.3802734375e-05,7.83466796875e-05
4096,0.026288,0.200913,6.41796875e-06,4.9051025390625e-05
16384,0.025112,0.502059,1.53271484375e-06,3.064324951171875e-05
65536,0.029678,1.872789,4.52850341796875e-07,2.8576492309570313e-05
1,0.023602,0.025156,0.023602,0.025156
4,0.029408,0.021792,0.007352,0.005448
16,0.027255,0.025077,0.0017034375,0.0015673125
64,0.022042,0.021584,0.00034440625,0.00033725
