length,t_wrapper,t_baseline,t_baseline2,t_wrapper_a,t_baseline_a,t_baseline2_a
4,0.004903,0.002763032913208008,0.00030231475830078125,0.00122575,0.000690758228302002,7.557868957519531e-05
16,0.020195,0.0032072067260742188,0.0011684894561767578,0.0012621875,0.00020045042037963867,7.303059101104736e-05
64,0.012786,0.00339508056640625,0.0037331581115722656,0.00019978125,5.3048133850097656e-05,5.833059549331665e-05
256,0.042342,0.004001617431640625,0.021865367889404297,0.0001653984375,1.563131809234619e-05,8.541159331798553e-05
1024,0.143075,0.007260322570800781,0.05689811706542969,0.0001397216796875,7.090158760547638e-06,5.556456744670868e-05
4096,0.539287,0.020618200302124023,0.2175743579864502,0.000131661865234375,5.033740308135748e-06,5.311873974278569e-05
16384,2.227112,0.0673367977142334,0.8524641990661621,0.00013593212890625,4.109911969862878e-06,5.203028558753431e-05
65536,8.410345,0.25975990295410156,3.2984964847564697,0.00012833168029785156,3.963621566072106e-06,5.033106208429672e-05
1,0.004027,0.002698183059692383,7.390975952148438e-05,0.004027,0.002698183059692383,7.390975952148438e-05
4,0.005224,0.002776622772216797,0.0002396106719970703,0.001306,0.0006941556930541992,5.990266799926758e-05
16,0.006356,0.0032126903533935547,0.0012896060943603516,0.00039725,0.00020079314708709717,8.060038089752197e-05
64,0.013836,0.003387928009033203,0.0032405853271484375,0.0002161875,5.29363751411438e-05,5.0634145736694336e-05
256,0.046177,0.0041277408599853516,0.015212774276733398,0.00018037890625,1.612398773431778e-05,5.942489951848984e-05
1024,0.144637,0.007821321487426758,0.05811357498168945,0.0001412470703125,7.638009265065193e-06,5.6751538068056107e-05
4096,0.53997,0.02397632598876953,0.22238564491271973,0.00013182861328125,5.853595212101936e-06,5.4293370340019464e-05
16384,2.128775,0.07939291000366211,0.8955614566802979,0.00012993011474609376,4.845758667215705e-06,5.4660733439959586e-05
65536,8.599615,0.27494263648986816,3.3694534301757812,0.00013121971130371094,4.195291694486514e-06,5.141377914696932e-05
1,0.004032,0.002637624740600586,8.153915405273438e-05,0.004032,0.002637624740600586,8.153915405273438e-05
4,0.004461,0.0028586387634277344,0.00024437904357910156,0.00111525,0.0007146596908569336,6.109476089477539e-05
16,0.007653,0.0026960372924804688,0.0011432170867919922,0.0004783125,0.0001685023307800293,7.145106792449951e-05
64,0.013144,0.003057718276977539,0.003198862075805664,0.000205375,4.777684807777405e-05,4.99822199344635e-05
256,0.038812,0.003175497055053711,0.013314962387084961,0.000151609375,1.2404285371303558e-05,5.201157182455063e-05
1024,0.139654,0.0054171085357666016,0.05200767517089844,0.000136380859375,5.290145054459572e-06,5.0788745284080505e-05
4096,0.60595,0.012778759002685547,0.20374369621276855,0.00014793701171875,3.119814209640026e-06,4.974211333319545e-05
16384,2.069595,0.035439252853393555,0.7975890636444092,0.00012631805419921875,2.163040335290134e-06,4.868097312282771e-05
65536,8.157085,0.1374378204345703,3.2277443408966064,0.00012446723937988282,2.0971347112208605e-06,4.925147004541941e-05
1,0.004139,0.0029430389404296875,0.000110626220703125,0.004139,0.0029430389404296875,0.000110626220703125
4,0.004715,0.003400087356567383,0.00027251243591308594,0.00117875,0.0008500218391418457,6.812810897827148e-05
16,0.006271,0.0026760101318359375,0.0010819435119628906,0.0003919375,0.0001672506332397461,6.762146949768066e-05
